ID,Published,ChannelID,ChannelName,CategoryID,DefaultAudioLang,DefaultLang,Views,Comments,Likes,Dislikes,SearchIndex,URL,Title,Length,Length (min),PublishedAgo
uRfhuRNua_E,2020-04-20T11:40:09.000Z,UCexNn7c7IhTrXd943DK3N0g,Crafty Daily,26,en,,20566003,3556,252236,9940,0,https://youtube.com/watch?v=uRfhuRNua_E,Make Fabric Face Mask at home | DIY Face Mask No Sewing Machine | Easy Face Mask Pattern,4:52,4.866666667,6 days ago
U1mwc295aWw,2020-03-18T14:16:37.000Z,UC2ae70W6xXjT3ehS0G-NBUQ,Mr Crafts,26,en,,9462565,889,59940,3703,1,https://youtube.com/watch?v=U1mwc295aWw,☔Awesome Face Mask Ideas at Home 💙 How to Make Face Mask 🍎 Useful Face Mask Diy !,3:07,3.116666667,1 month ago
W6d3twpHwis,2020-03-22T18:13:54.000Z,UCZcz6hKQ2U49OObb05Y0RoQ,Dr. Ryan Southworth,22,en,,8875473,11438,148187,5728,2,https://youtube.com/watch?v=W6d3twpHwis,A Doctor Explains How to Make the Safest Face Mask,14:56,14.93333333,1 month ago
U4c5eo_3-y0,2020-04-15T00:32:44.000Z,UCrR64M5gT2TMIYH8qesbJIQ,WeirDass,23,,,8710598,2805,60954,2108,3,https://youtube.com/watch?v=U4c5eo_3-y0,DIY Face Mask Tutorial With Kay,4:24,4.4,1 week ago
4FB--BOyTiU,2020-03-21T21:39:09.000Z,UC0wN7fS1ATmM4ZTafhB9oBg,Erica Arndt,27,en,en,7503995,2978,84034,3556,4,https://youtube.com/watch?v=4FB--BOyTiU,How to SEW a Medical FACE MASK // TUTORIAL,6:20,6.333333333,1 month ago
0Z5fs0xKVT4,2020-02-21T12:15:00.000Z,UCFUU2QBnyfDtEL_lJXv2DYg,AssunDIY,26,ko,en,7319034,1398,59333,1510,5,https://youtube.com/watch?v=0Z5fs0xKVT4,EASY DIY Neoprene FaceMask / Cut Fabric / Mask Pattern (Adults&Kids) / Simple & Easy,3:57,3.95,2 months ago
1r2C1zGUHbU,2020-04-03T02:13:22.000Z,UCtQVy5IY7TjSBMo-lGigfnQ,Kristin Omdahl,26,en,en,6738949,4355,67993,1854,6,https://youtube.com/watch?v=1r2C1zGUHbU,DIY No Sew Face Mask Easy and Quick for Anyone,1:38,1.633333333,3 weeks ago
lOe_8z8k01U,2020-03-22T12:26:57.000Z,UCW3_w0LaAWYEZPhukHblbLw,Yori House 요리하우스,26,en,en,6092078,2230,62964,2790,7,https://youtube.com/watch?v=lOe_8z8k01U,"How to make EASY FACE MASK in 1 MINUTE - NO SEWING! WASHABLE, REUSABLE FACE MASK [XS-XXL]",6:11,6.183333333,1 month ago
9K4dH3-LHLQ,2020-04-03T20:51:46.000Z,UCD40qbnAXvpUl5GWGdb589A,Kim’s Kitchen Affair,26,,,5409513,1470,45693,2749,8,https://youtube.com/watch?v=9K4dH3-LHLQ,Quick and Easy Pleated Face Mask with Nose Bridge and Filter Pocket. Details in Description,4:57,4.95,3 weeks ago
CRBJ4JSVYpo,2020-04-14T13:40:06.000Z,UCexNn7c7IhTrXd943DK3N0g,Crafty Daily,26,en,,4695578,519,43710,2334,12,https://youtube.com/watch?v=CRBJ4JSVYpo,Face Mask Sewing Tutorial | How to make Face Mask with Filter Pocket | DIY Cloth Face Mask,6:22,6.366666667,1 week ago
